frame_id,kp_name,kp_index,X_3d,Y_3d,Z_3d,estimated_Z_value
0,nose,0,NaN,NaN,NaN,Error
0,left_eye,1,NaN,NaN,NaN,Error
0,right_eye,2,NaN,NaN,NaN,Error
0,left_ear,3,NaN,NaN,NaN,Error
0,right_ear,4,NaN,NaN,NaN,Error
0,left_shoulder,5,-1308.054811600655,481.79951112178003,6319.352539061335,6319.352539061335
0,right_shoulder,6,-1737.6234826238167,511.0807623687705,6334.959420409752,6334.959420409752
0,left_elbow,7,-1374.283821382108,812.7670346826218,6722.359102282722,6722.359102282722
0,right_elbow,8,-1965.5770516835175,823.2741209666175,6753.572864979557,6753.572864979557
0,left_wrist,9,NaN,NaN,NaN,Error
0,right_wrist,10,NaN,NaN,NaN,Error
0,left_hip,11,NaN,NaN,NaN,Error
0,right_hip,12,NaN,NaN,NaN,Error
0,left_knee,13,NaN,NaN,NaN,Error
0,right_knee,14,NaN,NaN,NaN,Error
0,left_ankle,15,NaN,NaN,NaN,Error
0,right_ankle,16,NaN,NaN,NaN,Error
1,nose,0,NaN,NaN,NaN,Error
1,left_eye,1,NaN,NaN,NaN,Error
1,right_eye,2,NaN,NaN,NaN,Error
1,left_ear,3,NaN,NaN,NaN,Error
1,right_ear,4,NaN,NaN,NaN,Error
1,left_shoulder,5,-1366.2061633005474,488.415338225643,6530.56431153391,6530.56431153391
1,right_shoulder,6,-1788.9340904523524,515.157817109068,6524.63191822155,6524.63191822155
1,left_elbow,7,-1422.7675136568164,817.9612268480954,6932.898973093229,6932.898973093229
1,right_elbow,8,-2014.503419320441,823.3079505453288,6921.034186468509,6921.034186468509
1,left_wrist,9,NaN,NaN,NaN,Error
1,right_wrist,10,NaN,NaN,NaN,Error
1,left_hip,11,NaN,NaN,NaN,Error
1,right_hip,12,NaN,NaN,NaN,Error
1,left_knee,13,NaN,NaN,NaN,Error
1,right_knee,14,NaN,NaN,NaN,Error
1,left_ankle,15,NaN,NaN,NaN,Error
1,right_ankle,16,NaN,NaN,NaN,Error
2,nose,0,NaN,NaN,NaN,Error
2,left_eye,1,NaN,NaN,NaN,Error
2,right_eye,2,NaN,NaN,NaN,Error
2,left_ear,3,NaN,NaN,NaN,Error
2,right_ear,4,NaN,NaN,NaN,Error
2,left_shoulder,5,-1325.408915206093,490.1027731565813,6384.1935257139485,6384.1935257139485
2,right_shoulder,6,-1761.388111178882,515.3390978868923,6408.307355111117,6408.307355111117
2,left_elbow,7,-1396.763790750721,825.1514980456286,6843.820836214041,6843.820836214041
2,right_elbow,8,-2010.0164745203876,831.607367450762,6892.04849500838,6892.04849500838
2,left_wrist,9,NaN,NaN,NaN,Error
2,right_wrist,10,NaN,NaN,NaN,Error
2,left_hip,11,NaN,NaN,NaN,Error
2,right_hip,12,NaN,NaN,NaN,Error
2,left_knee,13,NaN,NaN,NaN,Error
2,right_knee,14,NaN,NaN,NaN,Error
2,left_ankle,15,NaN,NaN,NaN,Error
2,right_ankle,16,NaN,NaN,NaN,Error
3,nose,0,NaN,NaN,NaN,Error
3,left_eye,1,NaN,NaN,NaN,Error
3,right_eye,2,NaN,NaN,NaN,Error
3,left_ear,3,NaN,NaN,NaN,Error
